,name,institution,rating_mean,reviews_count,language
181,EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,4.762755102040816,392.0,Inglés
182,Learn to Program: The Fundamentals,University of Toronto,4.734966592427617,1347.0,Inglés
183,Financial Accounting Fundamentals,University of Virginia,4.837772397094431,413.0,Inglés
184,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,4.795221843003413,293.0,Inglés
185,Understanding Clinical Research: Behind the Statistics,University of Cape Town,4.8317460317460315,630.0,Inglés
186,Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,4.6520710059171595,845.0,Inglés
187,Fashion as Design,The Museum of Modern Art,4.8279773156899815,529.0,Inglés
188,Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,4.772954924874791,596.0,Inglés
189,Feminism and Social Justice,"University of California, Santa Cruz",4.818998716302953,779.0,Inglés
190,International Organizations Management,University of Geneva,4.801418439716312,282.0,Inglés
191,Marketing Digital,Universidade de São Paulo,4.709976798143852,431.0,Inglés
192,Fundamentals of GIS,"University of California, Davis",4.852253756260434,1198.0,Inglés
193,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,4.542168674698795,83.0,Inglés
194,"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,4.817808219178082,730.0,Inglés
195,Rethinking International Tax Law,Universiteit Leiden,4.854460093896714,213.0,Inglés
196,Introduction to Probability and Data with R,Duke University,4.599605522682446,1014.0,Inglés
197,Understanding and Visualizing Data with Python,University of Michigan,4.542207792207792,308.0,Inglés
198,Fundamentals of Visualization with Tableau,"University of California, Davis",4.304393305439331,955.0,Inglés
199,Getting Started with SAS Programming,SAS,4.8808777429467085,318.0,Inglés
200,Machine Learning for All,University of London,4.675814751286449,583.0,Inglés
201,Using Databases with Python,University of Michigan,4.7011922503725785,2684.0,Inglés
202,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,4.924812030075188,133.0,Inglés
203,Dino 101: Dinosaur Paleobiology,University of Alberta,4.9221476510067115,745.0,Inglés
204,Sports Marketing,Northwestern University,4.699074074074074,216.0,Inglés
205,Positive Psychology,The University of North Carolina at Chapel Hill,4.659316427783903,907.0,Inglés
206,Introduction to Programming with MATLAB,Vanderbilt University,4.811858974358974,3120.0,Inglés
207,Preparing to Manage Human Resources,University of Minnesota,4.835942818243703,1468.0,Inglés
208,Solar Energy Basics,The State University of New York,4.767726161369193,409.0,Inglés
209,Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,4.813981762917933,1645.0,Inglés
210,Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,3.94300518134715,193.0,Inglés
211,Introduction to Forensic Science,"Nanyang Technological University, Singapore",4.84593023255814,344.0,Inglés
212,Google Cloud Product Fundamentals,Google Cloud,4.619565217391305,92.0,Inglés
213,American Contract Law I,Yale University,4.852941176470588,102.0,Inglés
214,Engineering Health: Introduction to Yoga and Physiology,New York University,4.701298701298701,77.0,Inglés
215,AI for Medical Diagnosis,DeepLearning.AI,4.583657587548638,257.0,Inglés
216,Natural Language Processing with Sequence Models,DeepLearning.AI,3.967741935483871,61.0,Inglés
