,title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,precio_certificado
249,The Science of Everyday Thinking,318399,Self-paced on your time,The University of Queensland,Introductory,Business & Management,Inglés,Inglés,2–3 hours per week,12 Weeks,99
250,Gestion de projets de développement,41663,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Francés,Francés,3–4 hours per week,10 Weeks,25
251,Product Management Fundamentals,11913,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,Inglés,Inglés,2–3 hours per week,4 Weeks,199
252,International Human Rights Law,74424,Self-paced on your time,Université catholique de Louvain,Advanced,Law,Inglés,Inglés,6–8 hours per week,12 Weeks,150
253,The Best Start in Life: Early Childhood Development for Sustainable Development,23139,Self-paced on your time,SDG Academy,Intermediate,Education & Teacher Training,Inglés,"Árabe, Inglés, Español, हिन्दी, Portugués",2–4 hours per week,8 Weeks,49
254,Data Science and Machine Learning Capstone Project,21809,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,Inglés,Inglés,3–4 hours per week,6 Weeks,99
255,"Data Science for Construction, Architecture and Engineering",11113,Self-paced on your time,The National University of Singapore,Introductory,Data Analysis & Statistics,Inglés,Inglés,4–6 hours per week,7 Weeks,199
256,"Nutrition, Heart Disease and Diabetes",24986,Self-paced on your time,Wageningen University & Research,Intermediate,Food & Nutrition,Inglés,Inglés,6–8 hours per week,5 Weeks,99
257,Project Management for Development,62099,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Inglés,Inglés,3–4 hours per week,10 Weeks,49
258,Introduction to Cloud Infrastructure Technologies,86923,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,Inglés,Inglés,3–4 hours per week,14 Weeks,169
259,"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",13566,Self-paced on your time,Wageningen University & Research,Introductory,Art & Culture,Inglés,Inglés,4–6 hours per week,5 Weeks,65
260,Machine Learning,150855,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,Inglés,Inglés,8–10 hours per week,12 Weeks,249
261,Introducción a la gestión de proyectos,98517,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Business & Management,Español,Español,4–5 hours per week,5 Weeks,50
262,Free Cash Flow Analysis,36085,Self-paced on your time,Columbia University,Introductory,Business & Management,Inglés,Inglés,3–4 hours per week,5 Weeks,225
263,Lean Production,55926,Self-paced on your time,Technische Universität München,Introductory,Business & Management,Inglés,Inglés,3–4 hours per week,6 Weeks,99
